 ,AK,BC,CC
AK,0.921 (0.912-0.929),0.078 (0.070-0.086),0.002 (0.001-0.002)
BC,0.228 (0.205-0.254),0.730 (0.702-0.754),0.042 (0.036-0.047)
CC,0.005 (0.004-0.007),0.050 (0.040-0.062),0.945 (0.932-0.956)
