 ,AK,BC,CC
AK,0.94 (0.93-0.95),0.06 (0.05-0.07),0.00 (0.00-0.00)
BC,0.32 (0.27-0.36),0.65 (0.61-0.70),0.03 (0.02-0.04)
CC,0.01 (0.01-0.01),0.08 (0.06-0.10),0.91 (0.89-0.93)
