 ,AK,BC,CC
AK,0.84 (0.82-0.87),0.15 (0.13-0.17),0.01 (0.01-0.01)
BC,0.14 (0.11-0.18),0.74 (0.70-0.78),0.11 (0.08-0.14)
CC,0.02 (0.01-0.04),0.32 (0.17-0.46),0.65 (0.50-0.82)
