 ,AK,BC,CC
AK,0.91 (0.90-0.93),0.08 (0.07-0.10),0.00 (0.00-0.00)
BC,0.17 (0.14-0.19),0.79 (0.76-0.81),0.05 (0.04-0.06)
CC,0.00 (0.00-0.00),0.03 (0.02-0.04),0.97 (0.96-0.98)
