 ,AK,BC,CC
AK,0.92 (0.91-0.93),0.08 (0.07-0.09),0.00 (0.00-0.00)
BC,0.23 (0.20-0.26),0.73 (0.70-0.76),0.04 (0.04-0.05)
CC,0.01 (0.00-0.01),0.05 (0.04-0.06),0.94 (0.93-0.96)
