Name,Class,Area,Estimate,SE
Natural Mortality Rate,Pooled,All,0.11240735050090811,8.334447656446247e-4
Fishing Mortality Bias,Pooled,All,1.0782441067440087,0.007369614450063783
Negative Binomial Dispersion,Pooled,All,0.5829972864370148,0.006880785848901034
